   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       99    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       62    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       88    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       16    0.000    0.000    0.001    0.000 abc.py:105(register)
       31    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
    27/18    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       52    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       26    0.000    0.000    0.003    0.000 abc.py:86(__new__)
       85    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.070    0.070 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:273(ArpackError)
        1    0.000    0.000    0.000    0.000 arpack.py:282(ArpackNoConvergence)
        1    0.000    0.000    0.000    0.000 arpack.py:300(_ArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:370(_SymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:588(_UnsymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:892(SpLuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:915(LuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:930(IterInv)
        1    0.000    0.000    0.000    0.000 arpack.py:960(IterOpInv)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:528(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:634(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:654(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:684(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:695(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:712(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:733(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
     1722    0.015    0.000    0.026    0.000 arraysetops.py:96(unique)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
     2774    0.003    0.000    0.004    0.000 base.py:111(asfptype)
        1    0.000    0.000    0.000    0.000 base.py:15(SparseWarning)
        1    0.000    0.000    0.000    0.000 base.py:19(SparseFormatWarning)
     5134    0.006    0.000    1.017    0.000 base.py:202(asformat)
        1    0.000    0.000    0.000    0.000 base.py:23(SparseEfficiencyWarning)
    26332    0.015    0.000    0.980    0.000 base.py:240(dot)
    27365    0.039    0.000    1.048    0.000 base.py:292(__mul__)
      398    0.002    0.000    0.471    0.001 base.py:370(_mul_vector)
     1033    0.001    0.000    0.088    0.000 base.py:379(__rmul__)
   795429    0.686    0.000   50.355    0.000 base.py:511(__getattr__)
        1    0.000    0.000    0.000    0.000 base.py:61(spmatrix)
      410    0.001    0.000    0.386    0.001 base.py:671(tolil)
   945709    1.027    0.000    1.027    0.000 base.py:69(__init__)
   946218    1.890    0.000    1.987    0.000 base.py:77(set_shape)
   138768    0.227    0.000    0.572    0.000 base.py:806(_process_toarray_args)
  4501900    1.419    0.000    2.395    0.000 base.py:887(isspmatrix)
  6350036    1.083    0.000    1.083    0.000 base.py:99(get_shape)
        1    0.000    0.000    0.000    0.000 basic.py:39(SpecialFunctionWarning)
        1    0.001    0.001    0.001    0.001 basic.py:5(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
        1    0.000    0.000    0.000    0.000 basic.py:755(LstsqLapackError)
        1    0.000    0.000    0.000    0.000 blas.py:143(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:22(bsr_matrix)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1018(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:34(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:45(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:607(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2041(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:92(__new__)
        1    0.001    0.001    0.001    0.001 collections.py:11(<module>)
       10    0.004    0.000    0.005    0.001 collections.py:305(namedtuple)
      360    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
